#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1BBA
#Date Time: 2021-10-18 10:16:51.023
#Sample rate: 4e+06Hz
#Samples: 32768
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 50 mV/div Offset: 225 mV Attenuation: 1 X Zero: 1.70421843 V

Time (s),Channel 1 (V)
-0.004096,-0.2360838217195247
-0.00409575,-0.1946646943360911
-0.0040955,-0.2138589240991051
-0.00409525,-0.2407981939420378
-0.004095,-0.1650314975089899
-0.00409475,-0.2751457629915768
-0.0040945,-0.1616640887784231
-0.00409425,-0.2465227887836612
-0.004094,-0.1993790665586146
-0.00409375,-0.2205937415598385
-0.0040935,-0.1990423256854923
-0.00409325,-0.2519106427520768
-0.004093,-0.1579599391751906
-0.00409275,-0.2758192447378505
-0.0040925,-0.1630110522705697
-0.00409225,-0.2438288617992208
-0.004092,-0.2148691467182151
-0.00409175,-0.1973586213203089
-0.0040915,-0.2306959677509032
-0.00409125,-0.2115017379878835
-0.004091,-0.1983688439394189
-0.00409075,-0.2394512304498496
-0.0040905,-0.2165528510834402
-0.00409025,-0.1694091288582662
-0.00409,-0.2704313907692639
-0.00408975,-0.1785011324303539
-0.0040895,-0.2323796721160235
-0.00408925,-0.2057771431462254
-0.004089,-0.2205937415597876
-0.00408875,-0.1926442490978466
-0.0040885,-0.2640333141815674
-0.00408825,-0.1461740086187366
-0.004088,-0.2825540621983607
-0.00408775,-0.1599803844134627
-0.0040875,-0.2391144895768547
-0.00408725,-0.2148691467182004
-0.004087,-0.2067873657653501
-0.00408675,-0.2158793693373251
-0.0040865,-0.226991818147535
-0.00408625,-0.1774909098112901
-0.004086,-0.2566250149747609
-0.00408575,-0.1970218804472723
-0.0040855,-0.215205887591247
-0.00408525,-0.2125119606069635
-0.004085,-0.1960116578281623
-0.00408475,-0.2640333141815674
-0.0040845,-0.1535823078257563
-0.00408425,-0.2707681316423005
-0.004084,-0.1731132784616696
-0.00408375,-0.2313694494969779
-0.0040835,-0.2128487014800288
-0.00408325,-0.2300224860048647
-0.004083,-0.1774909098111461
-0.00408275,-0.2687476864038619
-0.0040825,-0.1485311947299934
-0.00408225,-0.2711048725153373
-0.004082,-0.1822052820337291
-0.00408175,-0.2205937415597686
-0.0040815,-0.2306959677509381
-0.00408125,-0.1980321030663823
-0.004081,-0.2172263328294368
-0.00408075,-0.2313694494970115
-0.0040805,-0.1886033586213558
-0.00408025,-0.2310327086239564
-0.00408,-0.2209304824328934
-0.00407975,-0.1818685411606227
-0.0040795,-0.2714416133883739
-0.00407925,-0.1549292713179019
-0.004079,-0.2603291645781642
-0.00407875,-0.1875931360022458
-0.0040785,-0.2229509276710693
-0.00407825,-0.2088078110035811
-0.004078,-0.2387777487038181
-0.00407775,-0.1660417201278996
-0.0040775,-0.2795233943410472
-0.00407725,-0.1485311947299934
-0.004077,-0.2630230915624574
-0.00407675,-0.1960116578281899
-0.0040765,-0.2111649971147844
-0.00407625,-0.2300224860048647
-0.004076,-0.2017362526697879
-0.00407575,-0.2030832161619296
-0.0040755,-0.2414716756881112
-0.00407525,-0.2168895919564351
-0.004075,-0.1710928332236309
-0.00407475,-0.2707681316421192
-0.0040745,-0.1673886836200462
-0.00407425,-0.2488799748948295
-0.004074,-0.2003892891777271
-0.00407375,-0.2145324058451785
-0.0040735,-0.2057771431462254
-0.00407325,-0.2461860479104669
-0.004073,-0.1596436435403605
-0.00407275,-0.2825540621985836
-0.0040725,-0.1495414173492951
-0.00407225,-0.254941310609386
-0.004072,-0.2003892891776389
-0.00407175,-0.2121752197339219
-0.0040715,-0.2229509276710883
-0.00407125,-0.2192467780676917
-0.004071,-0.1886033586213558
-0.00407075,-0.2532576062442601
-0.0040705,-0.1795113550495
-0.00407025,-0.2266550772744982
-0.00407,-0.2327164129891581
-0.00406975,-0.1724397967157677
-0.0040695,-0.2667272411658606
-0.00406925,-0.1731132784616696
-0.004069,-0.237430785211621
-0.00406875,-0.2098180336227156
-0.0040685,-0.2155426284642885
-0.00406825,-0.1983688439394189
-0.004068,-0.2549413106093847
-0.00406775,-0.14886793560303
-0.0040675,-0.287268434421097
-0.00406725,-0.1549292713178566
-0.004067,-0.2465227887834946
-0.00406675,-0.204093438781042
-0.0040665,-0.209144551876592
-0.00406625,-0.2145324058451687
-0.004066,-0.2327164129891581
-0.00406575,-0.1781643915572193
-0.0040655,-0.2539310879903458
-0.00406525,-0.1869196542562943
-0.004065,-0.2118384788608851
-0.00406475,-0.2485432340218812
-0.0040645,-0.1626743113976893
-0.00406425,-0.2647067959276408
-0.004064,-0.1788378733032927
-0.00406375,-0.2306959677509014
-0.0040635,-0.2104915153687753
-0.00406325,-0.223961150290205
-0.004063,-0.18254202290686
-0.00406275,-0.2727885768803563
-0.0040625,-0.1391024502849669
-0.00406225,-0.285247989182877
-0.004062,-0.166715201874098
-0.00406175,-0.2354103399733263
-0.0040615,-0.2141956649721419
-0.00406125,-0.2037566979080214
-0.004061,-0.2125119606069426
-0.00406075,-0.2414716756881112
-0.0040605,-0.191297285605649
-0.00406025,-0.2263183364013899
-0.00406,-0.1869196542562441
-0.00405975,-0.2434921209263312
-0.0040595,-0.2125119606069193
-0.00405925,-0.1909605447326516
-0.004059,-0.2593189419590542
